Code,Product label,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
'0803,"Bananas, incl. plantains, fresh or dried",1099404,1022899,1083610,1213576,1302739,1640865,1995950,2033794,2246350,2081987,2332207,2590205,2820136,2742005,3038742,3238284,3310588,3682436,3500321,3523427
'0810,"""Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...",798,595,720,6179,731,724,833,1043,1461,1729,2270,2526,5495,10295,16424,38270,69309,92766,99760,123444
'0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",39034,43064,48361,53906,55430,53161,67349,59866,65996,66552,64226,59628,69623,82738,89332,86193,88964,87876,100489,110868
'0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...",9364,9858,8807,12750,16031,19241,18836,18132,19283,25588,24209,30877,31607,31645,31893,21849,19109,26085,38219,44974
'0808,"Apples, pears and quinces, fresh",0,0,1,6,4,3,10,7,133,241,2,1,0,0,0,0,0,0,0,3792
'0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",8,12,8,11,0,10,7,9,7,134,3,0,10,40,27,19,6,12,20,3351
'0806,"Grapes, fresh or dried",2,0,32,10,65,302,464,267,474,189,85,715,124,394,88,266,848,1306,1692,2994
'0805,"Citrus fruit, fresh or dried",589,1265,994,2193,946,1453,1824,1055,2859,2112,546,673,520,600,921,621,794,313,1004,2037
'0802,"Other nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts ...",1,73,48,4,32,0,15,23,38,31,79,68,0,0,0,4,0,79,136,1464
'0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",31,5,25,49,134,80,544,1072,2421,1646,1048,1987,2242,1811,1452,1265,692,823,756,1329
'0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",12,1,1,29,11,5,3,7,71,2,0,396,1236,1122,792,183,272,209,165,125
'0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",9,5,6,120,1,2,3,22,80,21,9,3,45,35,54,52,36,28,3,84
'0807,"Melons, incl. watermelons, and papaws (papayas), fresh",1196,2442,3215,3453,2669,2350,3384,3867,5119,5340,2960,4281,4456,3405,1484,147,115,34,48,14
'0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",11,0,1,23,4,14,24,18,4,20,279,270,0,0,6,1,0,0,0,1
